epoch,acc,loss
0,0.72795266,0.5689344469229125
1,0.77126455,0.47294405281947427
2,0.81422853,0.42258618276480087
3,0.82866585,0.3813306590014734
4,0.8490172,0.341930509241164
5,0.8643242,0.3130161131181962
6,0.87876153,0.2903254915578872
7,0.88954604,0.2620520951678083
8,0.90015656,0.24269253796924395
9,0.9052009,0.2247114598599669
10,0.9119847,0.20639449089729525
11,0.9205079,0.1939218813178059
12,0.92833537,0.1743714087537923
13,0.93042266,0.16528860673811266
14,0.9415551,0.14948042511152768
15,0.9485128,0.13420487816652027
16,0.9499043,0.1239624969642529
17,0.95025223,0.1232204153757361
18,0.96295005,0.09736010771588725
19,0.9624283,0.09562925352714974
20,0.9646895,0.09780423619727882
21,0.96764654,0.08556649926193961
22,0.97373456,0.07015750464135113
23,0.97008175,0.07756298170223312
24,0.9763437,0.0633674555056874
25,0.97599584,0.06264392794155624
26,0.9803444,0.059287803850721355
27,0.9803444,0.05416489196337148
28,0.9822578,0.05379799251952824
29,0.9813881,0.047981772244369336
