epoch,acc,loss,val_acc,val_loss
0,0.69345236,0.6268524034392267,0.80285037,0.5313880914865539
1,0.77559525,0.4960250229175602,0.87410927,0.3328049498242001
2,0.8154762,0.4269585306090968,0.9002375,0.27985909724131575
3,0.83214283,0.39132767059795914,0.89548695,0.2545841871652492
4,0.8440476,0.37154583380158457,0.9049881,0.2625328324908434
5,0.8666667,0.33995101782715037,0.9097387,0.21637800916336303
6,0.8755952,0.3237278936430812,0.9287411,0.19651607770559398
7,0.87857145,0.31319115231079714,0.9311164,0.1779655142752237
8,0.87857145,0.3037765237857543,0.9311164,0.17151488493694816
9,0.90238094,0.2580421438573727,0.9263658,0.18416278631707958
10,0.90833336,0.24658144637942314,0.9311164,0.16347541664402152
11,0.91011906,0.24600763514726645,0.93824226,0.14902425579033618
12,0.9089286,0.22644256108573504,0.9453682,0.13636110068926977
13,0.9190476,0.21904699224978685,0.9453682,0.13456327706402124
14,0.92440474,0.2017352801548051,0.9501188,0.116326134738534
15,0.93035716,0.1850237196333529,0.95486933,0.10807446325414402
16,0.93095237,0.1924977345902118,0.96199524,0.09820786254956972
17,0.9345238,0.18041750686686664,0.96199524,0.09420679910325033
18,0.9375,0.17123807078626538,0.96674585,0.10984863234727188
19,0.9470238,0.1631879228377892,0.95724463,0.13285120860348607
20,0.9392857,0.16838413666534638,0.96674585,0.10898484755307436
21,0.94345236,0.16666246664022938,0.96674585,0.08482436358192286
22,0.94404763,0.15765983990526625,0.9738717,0.07254689519271948
23,0.9458333,0.15520318600881314,0.976247,0.08472262035925375
24,0.95059526,0.1376159173502986,0.97149646,0.06845056039259531
25,0.95297617,0.1410545245744288,0.9738717,0.07227353319569035
26,0.9482143,0.13635274569969624,0.9738717,0.07471521973046799
27,0.9607143,0.12751669333582477,0.9786223,0.0766016945708543
28,0.95416665,0.13497023370915226,0.976247,0.06367101857092144
29,0.95535713,0.13310246157094038,0.976247,0.058671506625318594
