epoch,acc,loss,val_acc,val_loss
0,0.86321956,0.3168715847405509,0.88955826,0.25120614130981267
1,0.8703515,0.3199270452089016,0.88353413,0.2752277695178054
2,0.8683138,0.3209668618564148,0.86646587,0.2832194527983665
3,0.87187976,0.31203280020160273,0.8865462,0.25692716978024693
4,0.8741722,0.3092056966000187,0.8915663,0.25678361932281407
5,0.87289864,0.3011453762937288,0.87751,0.27196840782649817
6,0.87697405,0.30807059154676397,0.87249,0.28105671383673325
7,0.8703515,0.3078266628413777,0.8995984,0.2691614384320565
8,0.8764646,0.2988382303548556,0.8885542,0.2624846222321503
9,0.8713704,0.2982811110365628,0.89056224,0.2452067423972767
10,0.8774834,0.3016348075293862,0.87851405,0.2631352309352951
11,0.87366277,0.3019447108021151,0.89759034,0.24112794915679842
12,0.86882323,0.3084693474168934,0.90160644,0.23868557409849017
13,0.8757005,0.2942754904058977,0.90160644,0.24367659660289065
14,0.8797759,0.2959270065660307,0.88955826,0.2784308265405707
15,0.8800306,0.3008454376987029,0.9046185,0.256361849186942
16,0.878757,0.3075376462816386,0.8955823,0.2577076090849005
17,0.88257766,0.2960919406956752,0.90160644,0.26142889658221974
18,0.87799287,0.2991277644588881,0.90361446,0.2513688511168584
