epoch,acc,loss,val_acc,val_loss
0,0.7416667,0.5401915773039773,0.89548695,0.2810464457197245
1,0.8410714,0.37588327351425377,0.9097387,0.21848188973096913
2,0.89940476,0.25588853080712615,0.935867,0.152775147518273
3,0.9142857,0.23347771976010076,0.95486933,0.10655951758218539
4,0.9160714,0.22588746845611327,0.9287411,0.16144757000946028
5,0.9279762,0.20306990871904418,0.97149646,0.08351627686385844
6,0.93214285,0.18184240018239334,0.96674585,0.12295607884609422
7,0.9363095,0.18557599447445855,0.9334917,0.17502662723580764
8,0.9458333,0.1479120369476732,0.96437055,0.0893211069755083
9,0.9369048,0.19507938278617248,0.96437055,0.08117176064961525
10,0.94345236,0.15995711942170082,0.9833729,0.06799951971097049
11,0.9565476,0.13382251662967196,0.9833729,0.057669289886604906
12,0.94166666,0.1430176004484695,0.9287411,0.1926548043049352
13,0.95238096,0.1264053223976156,0.9809976,0.07139228868059987
14,0.95059526,0.14002410794464162,0.9501188,0.1064444657653397
15,0.9625,0.11449772798334293,0.9809976,0.061336132448686416
16,0.95416665,0.12396028420993216,0.976247,0.062392720834861054
17,0.9482143,0.14659298052789554,0.96437055,0.10579444615367994
18,0.95,0.13542601973417082,0.95724463,0.12558356993615108
19,0.95297617,0.12384035765786566,0.97149646,0.06909599196880536
20,0.9625,0.10014261104654343,0.9738717,0.060767931530663614
21,0.9559524,0.11392021119051303,0.97149646,0.07483241923131742
22,0.9702381,0.08905780813282556,0.98812354,0.03773985234722712
23,0.96428573,0.10905086945179694,0.9334917,0.2667820646693567
24,0.9589286,0.12006949320147257,0.9809976,0.056127546414689616
25,0.95535713,0.12691903885154585,0.9738717,0.07178710537507783
26,0.96309525,0.09664807100073501,0.9501188,0.12883831561220874
27,0.97559524,0.07893186705006797,0.9786223,0.07766397657322285
28,0.9714286,0.08716338070128889,0.96199524,0.1041566080773834
29,0.9565476,0.14120362544487025,0.96674585,0.09937434944020974
