epoch,acc,loss,val_acc,val_loss
0,0.96130955,0.13134270390154207,0.9928741,0.021184645322660418
1,0.9595238,0.13158933679556822,0.96674585,0.1278350043170111
2,0.96130955,0.10826923869137231,0.9928741,0.02773069693750247
3,0.9702381,0.09588549549031693,0.99049884,0.04250438417460997
4,0.9720238,0.07404443307036888,0.9952494,0.017440007867472285
5,0.97440475,0.07931927656054108,0.9786223,0.07892069288057554
6,0.9654762,0.10709111529095458,0.98574823,0.06790100097748299
7,0.975,0.07342685249629237,0.9833729,0.041198617842488856
8,0.9672619,0.10038909823023937,0.9501188,0.1371690229293457
9,0.9684524,0.08885224865315693,0.9952494,0.01036548398710587
10,0.9678571,0.09812145725715839,0.976247,0.08288801241284345
11,0.9720238,0.09009575226411384,0.9976247,0.019533890371920194
12,0.9779762,0.06800302372544192,0.99049884,0.030886582736478208
13,0.9696429,0.0849312244815034,0.9833729,0.05257372640013738
14,0.97559524,0.06035403766959678,0.98812354,0.028768770837095236
15,0.9607143,0.11176658089330192,0.98812354,0.05359352854125169
16,0.9815476,0.058308093182166065,0.9976247,0.01691999372709434
17,0.9767857,0.08261386596825018,0.95486933,0.11363170912684223
18,0.96428573,0.12389169221742555,0.9833729,0.05580024650526168
19,0.96666664,0.10313495973553342,0.9976247,0.02732048978231073
20,0.97083336,0.10999054500635316,0.86698335,0.6334391283087952
21,0.95416665,0.15962959869371152,0.9833729,0.051396600261796266
22,0.9690476,0.10177614597826808,0.9952494,0.015206647150186
23,0.97261906,0.08878696235756035,0.9928741,0.03372713406218302
24,0.9625,0.105459879223504,0.9928741,0.037319459595046074
25,0.9791667,0.07059982826103806,0.9809976,0.05296045113057115
26,0.9815476,0.0683324446853519,0.9952494,0.020435258361198236
27,0.98392856,0.06727291919620863,0.96199524,0.16705587585289153
28,0.9607143,0.12163620167675185,0.96912116,0.13290594287249152
29,0.97261906,0.0853663344016587,0.9976247,0.02488565574511212
